Branch Channel,loan_count,total_value,live_loans,live_value,projected_value,avg_probability,snapshot_date
Wholesale,792,199881749.0,649,141177336.0,31773788.0,0.2971,2025-12-15
Retail,241,67517319.0,59,5809336.0,670551.0,0.0534,2025-12-15
