stage,loan_count,avg_velocity,median_velocity,p25_velocity,p75_velocity,avg_days_at_stage,avg_probability,pct_stalled,snapshot_date
Approved,206,0.0723,0.0678,0.046,0.0976,63.0,0.1125,31.1,2025-12-15
Cond Review,9,0.0909,0.082,0.0495,0.1429,1.9,0.8763,33.3,2025-12-15
Final UW,7,0.137,0.1579,0.1111,0.1647,0.0,0.9044,0.0,2025-12-15
CTC,13,0.1419,0.1522,0.1186,0.175,5.2,0.8701,7.7,2025-12-15
Docs,8,0.17,0.1544,0.1399,0.2339,1.8,0.988,12.5,2025-12-15
Fund Cond,6,0.2438,0.2403,0.2074,0.2864,0.8,0.9833,0.0,2025-12-15
