LoanGuid,Product Type,Branch Channel,Loan Purpose,LoanAmount,Funded D,cycle_days
82306074,NONCONFORMING,Wholesale,Refinance CashOut,2100000.0,2023-07-19,34
82306080,CONVENTIONAL BOND STD MI,Wholesale,Purchase,562600.0,2023-07-24,39
92306051,FHA,Wholesale,Refinance CashOut,300000.0,2023-08-18,70
82306056,2ND,Wholesale,Refinance CashOut,150000.0,2023-07-21,39
82306057,NONCONFORMING,Wholesale,Purchase,386250.0,2023-06-30,18
92306060,FHA,Wholesale,Purchase,339680.0,2023-07-18,35
92306062,CONFORMING,Wholesale,Refinance,315000.0,2023-07-17,34
92306067,VA,Wholesale,Purchase,338000.0,2023-06-30,16
92306104,FHA,Wholesale,Purchase,293986.0,2023-07-24,34
92306107,CONFORMING,Wholesale,Purchase,481500.0,2023-09-21,93
82306109,FHA,Wholesale,Refinance CashOut,175000.0,2023-07-18,28
92306113,FHA,Wholesale,Purchase,347400.0,2023-07-25,35
82306083,2ND,Wholesale,Purchase,11252.0,2023-07-24,39
82306087,2ND,Wholesale,Purchase,17400.0,2023-07-24,39
92306089,CONFORMING,Wholesale,Purchase,344000.0,2023-06-26,10
92306090,FHA BOND,Wholesale,Purchase,330995.0,2023-07-21,35
82306092,FHA BOND,Wholesale,Purchase,434250.0,2023-07-26,40
92306094,2ND,Wholesale,Purchase,12005.0,2023-07-21,35
82306096,2ND,Wholesale,Purchase,15750.0,2023-07-26,40
82306101,NONCONFORMING,Wholesale,Refinance CashOut,2617500.0,2023-08-16,58
52306136,NONCONFORMING,Wholesale,Refinance,270000.0,2023-07-20,27
82306117,NONCONFORMING,Wholesale,Purchase,391000.0,2023-08-07,48
92306120,CONFORMING,Wholesale,Purchase,139500.0,2023-07-18,28
52306131,2ND,Wholesale,Refinance,105000.0,2023-07-05,13
92306156,FHA,Wholesale,Purchase,458375.0,2023-08-14,48
92306142,NONCONFORMING,Wholesale,Purchase,319507.0,2023-12-15,172
82306150,CONFORMING,Wholesale,Purchase,208000.0,2023-07-31,34
82306151,FHA,Wholesale,Purchase,495045.0,2023-07-27,30
82306152,NONCONFORMING,Wholesale,Purchase,1860000.0,2023-07-19,22
82306153,NONCONFORMING,Wholesale,Refinance CashOut,300000.0,2023-07-31,34
92306170,NONCONFORMING,Wholesale,Refinance CashOut,172200.0,2023-07-28,29
82306171,FHA BOND,Wholesale,Purchase,605537.0,2023-07-31,32
52306172,NONCONFORMING,Wholesale,Refinance,350000.0,2023-07-10,10
82306173,CONFORMING,Wholesale,Purchase,369600.0,2023-07-20,20
82306174,2ND,Wholesale,Purchase,21962.0,2023-07-31,32
92307000,FHA,Wholesale,Purchase,225900.0,2023-07-21,18
82307001,FHA,Wholesale,Refinance CashOut,450000.0,2023-07-31,28
92307004,CONVENTIONAL BOND STD MI,Wholesale,Purchase,446200.0,2023-07-31,27
92307005,FHA BOND,Wholesale,Purchase,441005.0,2023-07-17,12
92307006,2ND,Wholesale,Purchase,13800.0,2023-07-31,27
82307008,CONFORMING,Wholesale,Purchase,428000.0,2023-07-28,23
92307009,2ND,Wholesale,Purchase,22850.0,2023-07-17,12
32307039,FHA,Retail,Purchase,386000.0,2023-08-25,25
82307015,2ND,Wholesale,Refinance CashOut,101007.0,2023-08-29,54
82307019,CONFORMING,Wholesale,Refinance CashOut,396500.0,2023-09-20,76
92307021,FHA BOND,Wholesale,Purchase,360910.0,2023-08-17,42
92307023,CONFORMING,Wholesale,Purchase,509600.0,2023-07-28,22
92307025,2ND,Wholesale,Purchase,13090.0,2023-08-17,42
92307027,FHA,Wholesale,Purchase,586000.0,2023-07-31,24
92307028,CONFORMING,Wholesale,Purchase,726000.0,2023-07-31,24
82307029,NONCONFORMING,Wholesale,Purchase,2780000.0,2023-07-28,21
82307030,NONCONFORMING,Wholesale,Purchase,601800.0,2023-07-31,24
82307033,FHA,Wholesale,Purchase,498374.0,2023-07-19,9
82307036,FHA,Wholesale,Purchase,394250.0,2023-07-28,18
92307062,CONFORMING,Wholesale,Purchase,465600.0,2023-08-18,36
92307072,NONCONFORMING,Wholesale,Purchase,588000.0,2023-09-11,59
82511384,NONCONFORMING,Wholesale,Refinance,,2025-12-22,34
82511574,NONCONFORMING,Wholesale,Refinance CashOut,,2025-12-29,33
82512068,NONCONFORMING,Wholesale,Refinance CashOut,,2025-12-31,29
82512078,2ND,Wholesale,Purchase,,2025-12-26,24
82512080,NONCONFORMING,Wholesale,Purchase,,2025-12-22,19
82508259,2ND,Wholesale,Purchase,9800.0,2025-12-23,133
