year,month,snapshot_day,approach,week,projected,actual,error_pct,is_known
2024,2,8,Historical,Week 1,8594303.0,8594303.0,0.0,True
2024,2,8,Historical,Week 2,11406898.41335819,10621935.0,7.39002275346431,False
2024,2,8,Historical,Week 3,9714052.850866089,13077094.0,-25.717037356571048,False
2024,2,8,Historical,Week 4,15941009.806549478,24845982.0,-35.84069324951826,False
2024,2,15,Median,Week 1,8594303.0,8594303.0,0.0,True
2024,2,15,Median,Week 2,10621935.0,10621935.0,0.0,True
2024,2,15,Median,Week 3,,13077094.0,,False
2024,2,15,Median,Week 4,,24845982.0,,False
2024,2,15,GBM,Week 1,8594303.0,8594303.0,0.0,True
2024,2,15,GBM,Week 2,10621935.0,10621935.0,0.0,True
2024,2,15,GBM,Week 3,14054031.219081637,13077094.0,7.470598736092564,False
2024,2,15,GBM,Week 4,,24845982.0,,False
2024,2,15,Distributional,Week 1,8594303.0,8594303.0,0.0,True
2024,2,15,Distributional,Week 2,10621935.0,10621935.0,0.0,True
2024,2,15,Distributional,Week 3,20929112.448318176,13077094.0,60.04406214651493,False
2024,2,15,Distributional,Week 4,13880145.036958385,24845982.0,-44.13525278671463,False
2024,2,15,Historical,Week 1,8594303.0,8594303.0,0.0,True
2024,2,15,Historical,Week 2,10621935.0,10621935.0,0.0,True
2024,2,15,Historical,Week 3,9426400.423282634,13077094.0,-27.91670364010051,False
2024,2,15,Historical,Week 4,12727631.463848425,24845982.0,-48.773884389643264,False
2024,3,0,Median,Week 1,14389208.946164059,13422905.0,7.198918163870329,False
2024,3,0,Median,Week 2,7933107.371853514,14353572.0,-44.73077940561755,False
2024,3,0,Median,Week 3,,9160790.0,,False
2024,3,0,Median,Week 4,,23520991.0,,False
2024,3,0,GBM,Week 1,12066313.43573962,13422905.0,-10.10654224447227,False
2024,3,0,GBM,Week 2,12214787.830028672,14353572.0,-14.900710220224822,False
2024,3,0,GBM,Week 3,15584309.129857874,9160790.0,70.11970725077066,False
2024,3,0,GBM,Week 4,,23520991.0,,False
2024,3,0,Distributional,Week 1,19031214.049076743,13422905.0,41.78163407307691,False
2024,3,0,Distributional,Week 2,11947575.057321884,14353572.0,-16.76235673376715,False
2024,3,0,Distributional,Week 3,12577098.083446955,9160790.0,37.29272348178438,False
2024,3,0,Distributional,Week 4,13062217.870988917,23520991.0,-44.46569929392466,False
2024,3,0,Historical,Week 1,10085447.075520325,13422905.0,-24.863901848963952,False
2024,3,0,Historical,Week 2,11501942.451295655,14353572.0,-19.867037617565472,False
2024,3,0,Historical,Week 3,13258396.71725706,9160790.0,44.729840082100566,False
2024,3,0,Historical,Week 4,21757368.97190902,23520991.0,-7.498077049946492,False
2024,3,8,Median,Week 1,13422905.0,13422905.0,0.0,True
2024,3,8,Median,Week 2,,14353572.0,,False
2024,3,8,Median,Week 3,,9160790.0,,False
2024,3,8,Median,Week 4,,23520991.0,,False
2024,3,8,GBM,Week 1,13422905.0,13422905.0,0.0,True
2024,3,8,GBM,Week 2,15089677.890991807,14353572.0,5.128381221007614,False
2024,3,8,GBM,Week 3,9915694.288988609,9160790.0,8.240602491582155,False
2024,3,8,GBM,Week 4,,23520991.0,,False
2024,3,8,Distributional,Week 1,13422905.0,13422905.0,0.0,True
2024,3,8,Distributional,Week 2,22353246.60891611,14353572.0,55.73298833848545,False
