year,month,snapshot_day,method,already_funded,projected_pipeline,projected,actual,error_pct,direction,training_mode
2024,1,0,Transition Tables,0.0,16819248.707626328,16819248.707626328,36630894.0,-54.08452573495387,under,fixed
2024,1,0,ML,0.0,28619825.10298997,28619825.10298997,36630894.0,-21.86970620212007,under,fixed
2024,1,1,Transition Tables,0.0,16819248.707626328,16819248.707626328,36630894.0,-54.08452573495387,under,fixed
2024,1,1,ML,0.0,28097033.239419885,28097033.239419885,36630894.0,-23.29689458460969,under,fixed
2024,1,8,Transition Tables,6501811.0,19824970.682406366,26326781.682406366,36630894.0,-28.12956822073093,under,fixed
2024,1,8,ML,6501811.0,27011294.59619917,33513105.59619917,36630894.0,-8.51136312370872,under,fixed
2024,1,15,Transition Tables,11983351.0,22441924.15320469,34425275.153204694,36630894.0,-6.021198518374423,under,fixed
2024,1,15,ML,11983351.0,23577684.068739392,35561035.06873939,36630894.0,-2.920646521104858,under,fixed
2024,1,22,Transition Tables,24328531.0,17983421.03091126,42311952.03091126,36630894.0,15.508925419377587,over,fixed
2024,1,22,ML,24328531.0,12361054.457803002,36689585.457803,36630894.0,0.16022392956885925,over,fixed
2024,2,0,Transition Tables,0.0,22391191.960691977,22391191.960691977,57139314.0,-60.8129842778792,under,fixed
2024,2,0,ML,0.0,39968518.96610636,39968518.96610636,57139314.0,-30.05075460635323,under,fixed
2024,2,1,Transition Tables,525113.0,24049323.09413694,24574436.09413694,57139314.0,-56.992070128568685,under,fixed
2024,2,1,ML,525113.0,44660138.07139778,45185251.07139778,57139314.0,-20.920907325912626,under,fixed
2024,2,8,Transition Tables,11574053.0,26953277.21066294,38527330.21066294,57139314.0,-32.572991319666635,under,fixed
2024,2,8,ML,11574053.0,41930622.1643856,53504675.1643856,57139314.0,-6.3610123768976266,under,fixed
2024,2,15,Transition Tables,20886738.0,34221587.16297528,55108325.16297528,57139314.0,-3.55445085851874,under,fixed
2024,2,15,ML,20886738.0,33634206.66044329,54520944.66044329,57139314.0,-4.582430477826018,under,fixed
2024,2,22,Transition Tables,36195957.0,37674882.64364217,73870839.64364217,57139314.0,29.281985505885093,over,fixed
2024,2,22,ML,36195957.0,21618754.00585346,57814711.00585346,57139314.0,1.182018051272823,over,fixed
2024,3,0,Transition Tables,0.0,33420166.595333826,33420166.595333826,60458258.0,-44.721916077479726,under,fixed
2024,3,0,ML,0.0,56571214.1115596,56571214.1115596,60458258.0,-6.429301830761316,under,fixed
2024,3,1,Transition Tables,3799205.0,33130900.758126713,36930105.75812671,60458258.0,-38.91635819522502,under,fixed
2024,3,1,ML,3799205.0,54374662.63087031,58173867.63087031,60458258.0,-3.7784587990108607,under,fixed
2024,3,8,Transition Tables,19457355.0,34223870.99262166,53681225.99262166,60458258.0,-11.20943975491047,under,fixed
2024,3,8,ML,19457355.0,47090859.55048599,66548214.55048599,60458258.0,10.072993751301915,over,fixed
2024,3,15,Transition Tables,30650752.0,31245409.74396108,61896161.74396108,60458258.0,2.378341340832349,over,fixed
2024,3,15,ML,30650752.0,34201258.90097603,64852010.90097603,60458258.0,7.267415645644358,over,fixed
2024,3,22,Transition Tables,37577936.0,44315458.480503455,81893394.48050345,60458258.0,35.45443945887997,over,fixed
2024,3,22,ML,37577936.0,28197005.247050658,65774941.24705066,60458258.0,8.793973599190796,over,fixed
2024,4,0,Transition Tables,0.0,40759416.667694,40759416.667694,76054237.0,-46.40743464733726,under,fixed
2024,4,0,ML,0.0,65186770.19944693,65186770.19944693,76054237.0,-14.289101080000405,under,fixed
2024,4,1,Transition Tables,872900.0,41044209.35631761,41917109.35631761,76054237.0,-44.88524109929916,under,fixed
2024,4,1,ML,872900.0,65170889.223877065,66043789.223877065,76054237.0,-13.162248641220259,under,fixed
2024,4,8,Transition Tables,19658609.0,38047282.66518402,57705891.66518402,76054237.0,-24.12534272721187,under,fixed
2024,4,8,ML,19658609.0,53039197.083685,72697806.08368501,76054237.0,-4.413207006882456,under,fixed
2024,4,15,Transition Tables,32266026.0,44091334.132003196,76357360.13200319,76054237.0,0.39856179479282416,over,fixed
2024,4,15,ML,32266026.0,42041570.737523496,74307596.7375235,76054237.0,-2.296571935205272,under,fixed
2024,4,22,Transition Tables,55637244.0,35405053.171966515,91042297.17196652,76054237.0,19.707067959890942,over,fixed
2024,4,22,ML,55637244.0,19947102.55179225,75584346.55179225,76054237.0,-0.6178359901339237,under,fixed
2024,5,0,Transition Tables,0.0,33420055.19997707,33420055.19997707,78177128.0,-57.250853216330654,under,fixed
2024,5,0,ML,0.0,59485590.85561748,59485590.85561748,78177128.0,-23.90921439884888,under,fixed
2024,5,1,Transition Tables,857000.0,34562578.218814984,35419578.218814984,78177128.0,-54.693170336450606,under,fixed
2024,5,1,ML,857000.0,60452831.72773512,61309831.72773512,78177128.0,-21.57574306421807,under,fixed
2024,5,8,Transition Tables,16418040.0,34970157.13828139,51388197.13828139,78177128.0,-34.26696726658801,under,fixed
2024,5,8,ML,16418040.0,53282936.674434155,69700976.67443416,78177128.0,-10.84223933829578,under,fixed
2024,5,15,Transition Tables,25721992.0,43940855.93543165,69662847.93543166,78177128.0,-10.89101158150545,under,fixed
2024,5,15,ML,25721992.0,50238841.25296554,75960833.25296554,78177128.0,-2.8349656782409047,under,fixed
2024,5,22,Transition Tables,46842060.0,42545534.86655262,89387594.86655262,78177128.0,14.33982950429264,over,fixed
2024,5,22,ML,46842060.0,31425927.786515623,78267987.78651562,78177128.0,0.11622297830590979,over,fixed
2024,6,0,Transition Tables,0.0,30589135.4663478,30589135.4663478,59910791.0,-48.94219395910196,under,fixed
2024,6,0,ML,0.0,50974376.41838382,50974376.41838382,59910791.0,-14.916201960371678,under,fixed
2024,6,1,Transition Tables,0.0,30598596.25066153,30598596.25066153,59910791.0,-48.926402506250454,under,fixed
2024,6,1,ML,0.0,50495456.13111196,50495456.13111196,59910791.0,-15.71559098408172,under,fixed
2024,6,8,Transition Tables,9387145.0,35283385.21733008,44670530.21733008,59910791.0,-25.43825666175884,under,fixed
2024,6,8,ML,9387145.0,48225673.8828851,57612818.8828851,59910791.0,-3.8356564464570355,under,fixed
2024,6,15,Transition Tables,25040642.0,39089261.80724354,64129903.80724354,59910791.0,7.042325325405136,over,fixed
2024,6,15,ML,25040642.0,36370139.29277873,61410781.29277873,59910791.0,2.503706373662685,over,fixed
2024,6,22,Transition Tables,40648520.0,42082581.9623642,82731101.9623642,59910791.0,38.09048517213568,over,fixed
2024,6,22,ML,40648520.0,21489447.6050547,62137967.6050547,59910791.0,3.717488231885803,over,fixed
2024,7,0,Transition Tables,0.0,37399480.300479636,37399480.300479636,85519586.0,-56.26793574459115,under,fixed
2024,7,0,ML,0.0,62953869.48140435,62953869.48140435,85519586.0,-26.386606360086507,under,fixed
2024,7,1,Transition Tables,2037399.0,38510503.47156961,40547902.47156961,85519586.0,-52.58641398057093,under,fixed
2024,7,1,ML,2037399.0,62566174.965504855,64603573.965504855,85519586.0,-24.4575693274464,under,fixed
2024,7,8,Transition Tables,13779490.0,39448675.36135652,53228165.36135652,85519586.0,-37.75909373397046,under,fixed
2024,7,8,ML,13779490.0,57710045.44976576,71489535.44976576,85519586.0,-16.405657705398905,under,fixed
2024,7,15,Transition Tables,28576272.0,45994856.89151892,74571128.89151892,85519586.0,-12.802280296914766,under,fixed
2024,7,15,ML,28576272.0,49627392.855498,78203664.855498,85519586.0,-8.554673247017353,under,fixed
2024,7,22,Transition Tables,54273148.0,37305908.17192001,91579056.17192,85519586.0,7.085476503499446,over,fixed
2024,7,22,ML,54273148.0,25389782.930139545,79662930.93013954,85519586.0,-6.848320184642216,under,fixed
2024,8,0,Transition Tables,0.0,32222826.97640808,32222826.97640808,80721934.0,-60.081696040126985,under,fixed
2024,8,0,ML,0.0,60186394.313041575,60186394.313041575,80721934.0,-25.43985094182509,under,fixed
2024,8,1,Transition Tables,2463425.0,32351291.839915138,34814716.83991514,80721934.0,-56.87080931446074,under,fixed
2024,8,1,ML,2463425.0,59626636.136809565,62090061.136809565,80721934.0,-23.0815491402751,under,fixed
2024,8,8,Transition Tables,15512250.0,40476656.85329047,55988906.85329047,80721934.0,-30.63978515022885,under,fixed
2024,8,8,ML,15512250.0,60395529.340736054,75907779.34073606,80721934.0,-5.963874278909049,under,fixed
2024,8,15,Transition Tables,28669330.0,50168730.13771613,78838060.13771613,80721934.0,-2.333781871831602,under,fixed
2024,8,15,ML,28669330.0,50865570.65869653,79534900.65869653,80721934.0,-1.4705214338688513,under,fixed
2024,8,22,Transition Tables,52196022.0,45808405.5650301,98004427.5650301,80721934.0,21.409910180088225,over,fixed
2024,8,22,ML,52196022.0,30220396.296366304,82416418.2963663,80721934.0,2.0991621637389217,over,fixed
2024,9,0,Transition Tables,0.0,43996438.82388705,43996438.82388705,81277004.0,-45.86852780168048,under,fixed
2024,9,0,ML,0.0,71010828.87847693,71010828.87847693,81277004.0,-12.63109442558078,under,fixed
2024,9,1,Transition Tables,0.0,43996438.82388705,43996438.82388705,81277004.0,-45.86852780168048,under,fixed
2024,9,1,ML,0.0,70315140.00073957,70315140.00073957,81277004.0,-13.4870424102498,under,fixed
2024,9,8,Transition Tables,14556340.0,45656530.56636197,60212870.56636197,81277004.0,-25.91647378345544,under,fixed
2024,9,8,ML,14556340.0,62885633.828908674,77441973.82890868,81277004.0,-4.718468917839686,under,fixed
2024,9,15,Transition Tables,32316809.0,50244757.53518856,82561566.53518856,81277004.0,1.580474761580232,over,fixed
2024,9,15,ML,32316809.0,49050809.04162204,81367618.04162204,81277004.0,0.11148792052182763,over,fixed
2024,9,22,Transition Tables,48978811.0,54340401.61084862,103319212.61084862,81277004.0,27.11985866364934,over,fixed
2024,9,22,ML,48978811.0,30650953.351918235,79629764.35191824,81277004.0,-2.0266982873553814,under,fixed
2024,10,0,Transition Tables,0.0,53452358.017418444,53452358.017418444,126058918.0,-57.597321264158055,under,fixed
2024,10,0,ML,0.0,99181722.13917418,99181722.13917418,126058918.0,-21.32113799423998,under,fixed
2024,10,1,Transition Tables,3420065.0,53992163.02402231,57412228.02402231,126058918.0,-54.45603616554736,under,fixed
2024,10,1,ML,3420065.0,97746772.14004478,101166837.14004478,126058918.0,-19.746386257222373,under,fixed
2024,10,8,Transition Tables,20838040.0,62669897.79460258,83507937.79460257,126058918.0,-33.75483534246853,under,fixed
2024,10,8,ML,20838040.0,92766006.75258835,113604046.75258835,126058918.0,-9.88019843817131,under,fixed
2024,10,15,Transition Tables,40043907.0,77186781.77756782,117230688.77756782,126058918.0,-7.003256383996713,under,fixed
2024,10,15,ML,40043907.0,83855356.24571633,123899263.24571633,126058918.0,-1.7132106070303306,under,fixed
2024,10,22,Transition Tables,76450986.0,69744785.25186065,146195771.25186065,126058918.0,15.974159997042534,over,fixed
2024,10,22,ML,76450986.0,49818471.078051165,126269457.07805116,126058918.0,0.16701640898676026,over,fixed
2024,11,0,Transition Tables,0.0,53155276.73019258,53155276.73019258,114798743.0,-53.69698714367232,under,fixed
2024,11,0,ML,0.0,90709945.76357102,90709945.76357102,114798743.0,-20.983502612418828,under,fixed
2024,11,1,Transition Tables,3148655.0,53328676.701369695,56477331.701369695,114798743.0,-50.80317935069228,under,fixed
2024,11,1,ML,3148655.0,90677824.46920909,93826479.46920909,114798743.0,-18.268722272325675,under,fixed
2024,11,8,Transition Tables,19978799.0,58716380.63950625,78695179.63950625,114798743.0,-31.4494413588603,under,fixed
2024,11,8,ML,19978799.0,83360495.34016931,103339294.34016931,114798743.0,-9.982207435695258,under,fixed
2024,11,15,Transition Tables,38623946.0,68284371.75258015,106908317.75258015,114798743.0,-6.873267982925431,under,fixed
2024,11,15,ML,38623946.0,67221370.2785505,105845316.2785505,114798743.0,-7.799237593959975,under,fixed
2024,11,22,Transition Tables,71647768.0,81732060.1230323,153379828.1230323,114798743.0,33.60758499161642,over,fixed
2024,11,22,ML,71647768.0,50148090.87075264,121795858.87075263,114798743.0,6.095115406231088,over,fixed
2024,12,0,Transition Tables,0.0,50093276.38642496,50093276.38642496,94320370.0,-46.89028850668741,under,fixed
2024,12,0,ML,0.0,73448301.07663856,73448301.07663856,94320370.0,-22.128909082270816,under,fixed
2024,12,1,Transition Tables,0.0,50177186.19339274,50177186.19339274,94320370.0,-46.801325956002145,under,fixed
2024,12,1,ML,0.0,73251941.86935149,73251941.86935149,94320370.0,-22.337092327615455,under,fixed
2024,12,8,Transition Tables,17736565.0,52284020.92039219,70020585.92039219,94320370.0,-25.76302879177405,under,fixed
2024,12,8,ML,17736565.0,68964001.52610487,86700566.52610487,94320370.0,-8.078640355095228,under,fixed
2024,12,15,Transition Tables,33838526.0,58562100.90575109,92400626.90575108,94320370.0,-2.035343048642537,under,fixed
2024,12,15,ML,33838526.0,60598366.63856493,94436892.63856493,94320370.0,0.12353920851342012,over,fixed
2024,12,22,Transition Tables,60362776.0,62301213.83586875,122663989.83586875,94320370.0,30.050369645357357,over,fixed
2024,12,22,ML,60362776.0,38318826.75260021,98681602.75260021,94320370.0,4.6238503438867,over,fixed
2025,1,0,Transition Tables,0.0,42424554.306636415,42424554.306636415,79845963.0,-46.86700152061988,under,fixed
2025,1,0,ML,0.0,63143829.262399316,63143829.262399316,79845963.0,-20.917943888535333,under,fixed
2025,1,1,Transition Tables,0.0,42429981.34888993,42429981.34888993,79845963.0,-46.860204630646216,under,fixed
2025,1,1,ML,0.0,62793811.838051766,62793811.838051766,79845963.0,-21.356309725950993,under,fixed
